element,id,railway,crossing:barrier,crossing,geometry
node,427663167,crossing,full,,POINT (13.5545079 52.5131148)
node,427663177,crossing,full,,POINT (13.5682351 52.5126913)
node,427901469,crossing,no,uncontrolled,POINT (13.4133248 52.4326216)
node,427901470,crossing,no,uncontrolled,POINT (13.4105879 52.4321866)
node,427901471,crossing,no,uncontrolled,POINT (13.409305 52.432618)
node,427901473,crossing,no,uncontrolled,POINT (13.4140653 52.4337536)
node,427901480,crossing,no,uncontrolled,POINT (13.4222707 52.4339018)
node,427901481,crossing,no,uncontrolled,POINT (13.4215913 52.4291542)
node,427901482,crossing,no,uncontrolled,POINT (13.4220461 52.4292502)
node,427901483,crossing,no,uncontrolled,POINT (13.4222381 52.4291306)
node,427901485,crossing,no,uncontrolled,POINT (13.4141619 52.434663)
node,427901486,crossing,no,uncontrolled,POINT (13.4141776 52.4348467)
node,427901487,crossing,no,uncontrolled,POINT (13.4148364 52.4361687)
node,430863739,crossing,,,POINT (13.3633927 52.6069966)
node,449585224,crossing,no,uncontrolled,POINT (13.4094999 52.4327241)
node,449585240,crossing,no,uncontrolled,POINT (13.4100783 52.4329511)
node,449585277,crossing,no,uncontrolled,POINT (13.4183331 52.4309004)
node,449585304,crossing,no,uncontrolled,POINT (13.4160841 52.4324364)
node,449585317,crossing,no,uncontrolled,POINT (13.4134763 52.4326279)
node,449585340,crossing,no,uncontrolled,POINT (13.4145908 52.4327147)
node,532570284,crossing,no,unmarked,POINT (13.5360055 52.4612759)
node,539477805,crossing,no,unmarked,POINT (13.5515176 52.4584327)
node,539737134,crossing,no,traffic_signals,POINT (13.4800764 52.4201431)
node,539737139,crossing,no,unmarked,POINT (13.4816053 52.4211715)
node,539737141,crossing,no,unmarked,POINT (13.4836405 52.422736)
node,539737143,crossing,no,unmarked,POINT (13.4843506 52.4232825)
node,539737149,crossing,no,unmarked,POINT (13.4862982 52.4247785)
node,539737173,crossing,no,unmarked,POINT (13.4917026 52.4289576)
node,592651443,crossing,,uncontrolled,POINT (13.4198003 52.4528172)
node,615831274,crossing,no,,POINT (13.3603622 52.5909777)
node,618552331,crossing,,,POINT (13.4256558 52.4475427)
node,650584167,crossing,no,uncontrolled,POINT (13.4107524 52.433237)
node,650584208,crossing,no,uncontrolled,POINT (13.4110863 52.433383)
node,650584231,crossing,no,uncontrolled,POINT (13.4141902 52.4355268)
node,650584260,crossing,no,uncontrolled,POINT (13.4195477 52.4302559)
node,650584272,crossing,no,uncontrolled,POINT (13.4227267 52.4280253)
node,650584283,crossing,no,uncontrolled,POINT (13.4253171 52.4285937)
node,650584463,crossing,no,uncontrolled,POINT (13.4258258 52.4283988)
node,650584472,crossing,no,uncontrolled,POINT (13.428383 52.4293762)
node,650584494,crossing,no,uncontrolled,POINT (13.4285829 52.4295493)
node,650617256,crossing,no,uncontrolled,POINT (13.4212748 52.4370594)
node,650617264,crossing,no,uncontrolled,POINT (13.4213724 52.4370157)
node,651009834,crossing,no,uncontrolled,POINT (13.4813921 52.5061665)
node,651013821,crossing,no,uncontrolled,POINT (13.4823154 52.5059761)
node,832876916,crossing,no,,POINT (13.3801273 52.6201938)
node,849558440,crossing,no,uncontrolled,POINT (13.4221099 52.4336544)
node,851492470,crossing,no,uncontrolled,POINT (13.4219501 52.4334331)
node,861138908,crossing,no,,POINT (13.3655159 52.5951823)
node,937153129,crossing,no,,POINT (13.4951574 52.4315957)
node,937965235,crossing,no,unmarked,POINT (13.4930908 52.4300189)
node,937965461,crossing,no,unmarked,POINT (13.4881404 52.4261961)
node,1208812469,crossing,no,,POINT (13.4671866 52.4216626)
node,1255759997,crossing,no,uncontrolled,POINT (13.4217094 52.4285209)
node,1270212935,crossing,no,uncontrolled,POINT (13.4221006 52.4319737)
node,1270212951,crossing,no,uncontrolled,POINT (13.4217416 52.4359018)
node,1270213003,crossing,no,uncontrolled,POINT (13.4170345 52.4316665)
node,1289462696,crossing,,uncontrolled,POINT (13.4911713 52.4359415)
node,1289462699,crossing,,uncontrolled,POINT (13.4936401 52.4347379)
node,1308533244,crossing,,,POINT (13.4720255 52.5276147)
node,1338463906,crossing,no,,POINT (13.280486 52.4353886)
node,1421882100,crossing,no,,POINT (13.3750604 52.4920867)
node,1421882157,crossing,no,,POINT (13.3766001 52.4950652)
node,1421882161,crossing,no,,POINT (13.3765313 52.4950787)
node,1421882164,crossing,no,,POINT (13.3765219 52.4950812)
node,1421882231,crossing,no,,POINT (13.3768876 52.4964214)
node,1423093614,crossing,no,,POINT (13.3763876 52.4947437)
node,1423093616,crossing,no,,POINT (13.3763007 52.4947467)
node,1423754715,crossing,no,,POINT (13.3753371 52.492928)
node,1423754716,crossing,no,,POINT (13.375269 52.4929405)
node,1501508731,crossing,no,,POINT (13.3075218 52.4076926)
node,1501508744,crossing,no,,POINT (13.3074524 52.4077044)
node,1625633863,crossing,no,,POINT (13.549647 52.4620504)
node,1625633865,crossing,no,,POINT (13.5493999 52.4621194)
node,1641950579,crossing,no,,POINT (13.5505922 52.4624151)
node,1696369181,crossing,no,,POINT (13.5454635 52.457525)
node,1696369198,crossing,no,,POINT (13.5391995 52.4592633)
node,1731529283,crossing,no,,POINT (13.3730182 52.4878459)
node,1731529285,crossing,no,,POINT (13.372947 52.4878545)
node,1813958598,crossing,no,,POINT (13.5482157 52.4662019)
node,1827996436,crossing,,,POINT (13.4051452 52.520192)
node,1827996440,crossing,,,POINT (13.4051176 52.5202136)
node,1827996511,crossing,,,POINT (13.4060067 52.5206248)
node,1827996525,crossing,,,POINT (13.4059805 52.5206443)
node,1828307001,crossing,,,POINT (13.4801649 52.5266778)
node,1828307007,crossing,,,POINT (13.4801639 52.5266967)
node,1828318317,crossing,no,,POINT (13.480162 52.526731)
node,1828327715,crossing,,,POINT (13.4801645 52.5266864)
node,1828327717,crossing,,,POINT (13.4801631 52.5267097)
node,1829909815,crossing,,,POINT (13.4720988 52.5276342)
node,1838903230,crossing,no,unmarked,POINT (13.550464 52.4601267)
node,1838903248,crossing,no,unmarked,POINT (13.5470937 52.4639842)
node,1856198584,crossing,double_half,,POINT (13.5348154 52.4518941)
node,1926156304,crossing,,,POINT (13.4503605 52.5069606)
node,2055799319,crossing,,uncontrolled,POINT (13.3646561 52.5314651)
node,2314731697,crossing,no,unmarked,POINT (13.5363941 52.461863)
node,2342412318,crossing,no,,POINT (13.5507451 52.4608781)
node,2377765562,crossing,no,,POINT (13.2730037 52.4157442)
node,2380714575,crossing,no,,POINT (13.3414735 52.5368244)
node,2380714586,crossing,no,,POINT (13.341518 52.5370316)
node,2400326136,crossing,no,uncontrolled,POINT (13.4141691 52.434729)
node,2642577476,crossing,no,,POINT (13.3610753 52.5914962)
node,2642577489,crossing,no,,POINT (13.3613856 52.5917541)
node,2642577495,crossing,no,,POINT (13.3614442 52.5918028)
node,2642577498,crossing,no,,POINT (13.3619241 52.5922016)
node,2642577500,crossing,no,,POINT (13.3629315 52.5930389)
node,2642577501,crossing,no,,POINT (13.3641139 52.5940216)
node,2642577502,crossing,no,,POINT (13.364595 52.5944138)
node,2642577505,crossing,no,,POINT (13.3756967 52.6067621)
node,2703044879,crossing,no,,POINT (13.5491811 52.4576683)
node,2763863492,crossing,no,,POINT (13.4301389 52.4290086)
node,2770876530,crossing,no,uncontrolled,POINT (13.442352 52.4299324)
node,2804261205,crossing,no,unmarked,POINT (13.5377464 52.463639)
node,2938625272,crossing,no,,POINT (13.1679307 52.5417799)
node,2969982811,crossing,,,POINT (13.4401481 52.5086821)
node,3042434649,crossing,,,POINT (13.4930873 52.521793)
node,3062974001,crossing,,,POINT (13.4006963 52.4829377)
node,3200078296,crossing,,uncontrolled,POINT (13.4912124 52.4359725)
node,3266145266,crossing,no,,POINT (13.3769749 52.4966537)
node,3750672205,crossing,no,,POINT (13.543077 52.461257)
node,3792418585,crossing,,,POINT (13.4045289 52.520221)
node,3792418767,crossing,,,POINT (13.4045688 52.5202412)
node,3859592466,crossing,no,unmarked,POINT (13.5469938 52.4639071)
node,4085561937,crossing,no,unmarked,POINT (13.548301 52.4575178)
node,4085561959,crossing,no,unmarked,POINT (13.5504596 52.4602544)
node,4406723718,crossing,no,,POINT (13.3075955 52.40768)
node,4567211430,crossing,,,POINT (13.4736608 52.5273383)
node,4567211431,crossing,,,POINT (13.4737049 52.5273589)
node,5078317839,crossing,,uncontrolled,POINT (13.3529798 52.536352)
node,5322848960,crossing,no,,POINT (13.2499292 52.4284285)
node,5476212666,crossing,,,POINT (13.3284828 52.5995433)
node,5534476068,crossing,,,POINT (13.4025538 52.5237651)
node,5534476069,crossing,,,POINT (13.4025547 52.5237648)
node,5549093412,crossing,no,,POINT (13.4352235 52.4377909)
node,5837705421,crossing,no,traffic_signals,POINT (13.4856554 52.4242853)
node,5837705422,crossing,no,traffic_signals,POINT (13.4853051 52.4240172)
node,5933809284,crossing,full,,POINT (13.5545171 52.513153)
node,5933809885,crossing,full,,POINT (13.5544883 52.5130367)
node,6357827000,crossing,no,,POINT (13.4905061 52.4280151)
node,6474484391,crossing,no,,POINT (13.1921446 52.567391)
node,6474484392,crossing,no,,POINT (13.1921823 52.5673537)
node,7029977639,crossing,no,,POINT (13.5506705 52.4608999)
node,7029977641,crossing,no,,POINT (13.5489404 52.4623542)
node,7029977642,crossing,no,,POINT (13.5505348 52.4609384)
node,7029977643,crossing,no,,POINT (13.547691 52.4636112)
node,7029977644,crossing,no,,POINT (13.5503376 52.460995)
node,7029977645,crossing,no,,POINT (13.550594 52.4609214)
node,7029977646,crossing,no,,POINT (13.5506461 52.4609065)
node,7255919717,crossing,no,unmarked,POINT (13.5473497 52.4638097)
node,7262126022,crossing,no,,POINT (13.1898062 52.5668168)
node,7262126023,crossing,no,,POINT (13.1897911 52.5668484)
node,7262126024,crossing,no,,POINT (13.1897808 52.5668745)
node,7262126025,crossing,no,,POINT (13.1897733 52.5668915)
node,7262126026,crossing,no,,POINT (13.1897555 52.5669319)
node,7262126027,crossing,no,,POINT (13.1897392 52.5669689)
node,7262126028,crossing,no,,POINT (13.1897216 52.5670088)
node,7590477115,crossing,no,unmarked,POINT (13.5508713 52.4581529)
node,7590477172,crossing,no,unmarked,POINT (13.5500657 52.4682458)
node,7590477173,crossing,no,unmarked,POINT (13.5500365 52.4682374)
node,7834957876,crossing,,,POINT (13.2326911 52.4232718)
node,7850089803,crossing,,unmarked,POINT (13.5408709 52.4645365)
node,7853143593,crossing,no,unmarked,POINT (13.5503994 52.460588)
node,7853143595,crossing,no,unmarked,POINT (13.5502506 52.4605087)
node,7853143596,crossing,no,unmarked,POINT (13.5504157 52.4605851)
node,7954196093,crossing,full,,POINT (13.4100603 52.5557553)
node,7973972825,crossing,full,,POINT (13.6122939 52.3757294)
node,7973972830,crossing,full,,POINT (13.6123657 52.3757539)
node,7973972831,crossing,double_half,,POINT (13.6122415 52.3757116)
node,7973972836,crossing,double_half,,POINT (13.6124148 52.3757706)
node,8091035429,crossing,no,,POINT (13.2728808 52.4153779)
node,8098324609,crossing,,,POINT (13.3809383 52.5437425)
node,8285603756,crossing,full,,POINT (13.566615 52.5730093)
node,8285603757,crossing,full,,POINT (13.5667426 52.5730553)
node,8285603758,crossing,full,,POINT (13.5668092 52.5732331)
node,8285603759,crossing,full,,POINT (13.5669363 52.5732795)
node,8317695729,crossing,no,,POINT (13.5241608 52.5316995)
node,8495025017,crossing,,,POINT (13.2820643 52.5010902)
node,8698455602,crossing,no,,POINT (13.4953608 52.4317527)
node,8723022082,crossing,no,,POINT (13.4307172 52.4429809)
node,8723022083,crossing,no,,POINT (13.4305478 52.4431766)
node,8726387296,crossing,no,uncontrolled,POINT (13.3960171 52.5496995)
node,8726387302,crossing,no,uncontrolled,POINT (13.3951012 52.5494995)
node,8726402721,crossing,no,uncontrolled,POINT (13.3919569 52.5493342)
node,8736034363,crossing,full,,POINT (13.5548875 52.4511055)
node,8773937015,crossing,,,POINT (13.5235975 52.5334269)
node,8790242604,crossing,full,,POINT (13.5668385 52.5732663)
node,8790242605,crossing,full,,POINT (13.5669636 52.5733126)
node,8988521423,crossing,no,,POINT (13.5083106 52.5430801)
node,8988521424,crossing,no,,POINT (13.5086218 52.5430492)
node,8988521486,crossing,no,,POINT (13.508563 52.5430551)
node,8988521555,crossing,no,,POINT (13.5083695 52.5430743)
node,9179445663,crossing,no,,POINT (13.276715 52.4262716)
node,9179445665,crossing,no,,POINT (13.276806 52.4264618)
node,9289904241,crossing,no,uncontrolled,POINT (13.4652901 52.4606777)
node,9289904263,crossing,no,uncontrolled,POINT (13.4660579 52.460522)
node,9291037058,crossing,no,traffic_signals,POINT (13.4622555 52.4627841)
node,9291037074,crossing,no,traffic_signals,POINT (13.4621148 52.4628958)
node,9291056981,crossing,no,uncontrolled,POINT (13.4595702 52.4649151)
node,9368525406,crossing,,,POINT (13.4401948 52.508718)
node,9371023091,crossing,,,POINT (13.4408508 52.5084425)
node,9371023092,crossing,,,POINT (13.4408907 52.5084867)
node,9371023114,crossing,,,POINT (13.4470991 52.5070677)
node,9371045919,crossing,,,POINT (13.4481263 52.5069062)
node,9538497668,crossing,no,,POINT (13.2796308 52.4325315)
node,9547886856,crossing,full,,POINT (13.4457784 52.6405343)
node,9547886858,crossing,full,,POINT (13.4456013 52.6406167)
node,9657452415,crossing,no,,POINT (13.1698282 52.5504628)
node,9657452416,crossing,no,,POINT (13.1698384 52.5505022)
node,9657464445,crossing,no,,POINT (13.1697584 52.550165)
node,9657464477,crossing,no,,POINT (13.1697673 52.5502023)
node,9673931685,crossing,no,,POINT (13.4504862 52.5070016)
node,9673931686,crossing,no,,POINT (13.4505267 52.5070689)
node,9685619701,crossing,no,,POINT (13.4154887 52.4362529)
node,9685619702,crossing,no,,POINT (13.4126136 52.4332457)
node,9685619703,crossing,no,,POINT (13.4164981 52.432223)
node,9685619704,crossing,no,,POINT (13.4127479 52.4331889)
node,9685619705,crossing,no,,POINT (13.4222999 52.4352236)
node,9978954743,crossing,no,,POINT (13.5160454 52.5414249)
node,9978954744,crossing,no,,POINT (13.5162234 52.54136)
node,9986776439,crossing,no,,POINT (13.3711151 52.5999391)
node,9986776516,crossing,no,,POINT (13.3712271 52.600077)
node,9997939186,crossing,no,unmarked,POINT (13.4534058 52.5616782)
node,10049276466,crossing,full,,POINT (13.5666381 52.5730373)
node,10049276467,crossing,full,,POINT (13.56677 52.5730866)
node,10124656154,crossing,no,,POINT (13.550665 52.4609014)
node,10211110912,crossing,no,traffic_signals,POINT (13.4958964 52.4323516)
node,10239165186,crossing,no,,POINT (13.2593347 52.487454)
node,10290541095,crossing,no,,POINT (13.4931648 52.5085537)
node,10603775013,crossing,no,,POINT (13.4455003 52.4266273)
node,10603775014,crossing,no,,POINT (13.4457319 52.4263859)
node,10651656934,crossing,no,,POINT (13.368 52.5972074)
node,10694682213,crossing,no,,POINT (13.3682566 52.597418)
node,10695625683,crossing,full,,POINT (13.6204691 52.5129982)
node,10695625696,crossing,full,,POINT (13.6203359 52.5129861)
node,10737988486,crossing,full,,POINT (13.2884603 52.590102)
node,10737988487,crossing,full,,POINT (13.2883759 52.5900937)
node,10737988492,crossing,full,,POINT (13.2883453 52.5902539)
node,10737988493,crossing,full,,POINT (13.2882756 52.5902387)
node,10797105551,crossing,no,,POINT (13.4219552 52.4314983)
node,10848418579,crossing,,unmarked,POINT (13.4569034 52.5609752)
node,10916595395,crossing,no,,POINT (13.4307588 52.4285181)
node,10916595396,crossing,no,,POINT (13.4308199 52.428333)
node,10920106856,crossing,no,,POINT (13.4498361 52.5012611)
node,10920106857,crossing,no,,POINT (13.4498316 52.5012546)
node,10920106858,crossing,no,,POINT (13.4498109 52.5012263)
node,10920106859,crossing,no,,POINT (13.4497019 52.5012768)
node,11061744803,crossing,,,POINT (13.4632536 52.4213316)
node,11097832961,crossing,no,,POINT (13.4347033 52.4383777)
node,11097943602,crossing,no,,POINT (13.4347266 52.4383508)
node,11148294040,crossing,no,,POINT (13.457146 52.4225433)
node,11148294041,crossing,no,,POINT (13.4573854 52.4224866)
node,11163514830,crossing,,unmarked,POINT (13.4574106 52.5609885)
node,11261290419,crossing,no,,POINT (13.2749814 52.4110175)
node,11261290420,crossing,no,,POINT (13.2751087 52.410936)
node,11296153503,crossing,double_half,,POINT (13.5344873 52.4518362)
node,11374421944,crossing,full,,POINT (13.5528029 52.4697255)
node,11374421945,crossing,full,,POINT (13.5527309 52.4697378)
node,11378512517,crossing,,,POINT (13.2053835 52.5677185)
node,11535316681,crossing,,,POINT (13.3589452 52.457126)
node,11563736805,crossing,no,,POINT (13.4613593 52.4215587)
node,11711454080,crossing,,,POINT (13.3156745 52.5971407)
node,11834820225,crossing,,,POINT (13.3848667 52.4551193)
node,11834820226,crossing,,,POINT (13.3870771 52.4556713)
node,11871364199,crossing,,,POINT (13.2795096 52.4322752)
node,11936744273,crossing,no,,POINT (13.3155148 52.584726)
node,11936744274,crossing,no,,POINT (13.3149325 52.5840491)
node,11936744275,crossing,no,,POINT (13.3149585 52.5840793)
node,11936744276,crossing,no,,POINT (13.3152248 52.5843889)
node,11936744277,crossing,no,,POINT (13.3139289 52.582816)
node,11936744278,crossing,,,POINT (13.3132987 52.5821138)
node,11936744279,crossing,no,,POINT (13.3148069 52.5839973)
node,11936744280,crossing,no,,POINT (13.3146807 52.5840385)
node,11936744281,crossing,no,,POINT (13.3145896 52.5840683)
node,11966351281,crossing,,,POINT (13.4750073 52.5152372)
node,11966351282,crossing,,,POINT (13.4749747 52.515232)
node,12044199701,crossing,,,POINT (13.4971427 52.4309147)
node,12044199715,crossing,,,POINT (13.5060896 52.4268987)
node,12265455786,crossing,,,POINT (13.4967328 52.5217147)
node,12292198153,crossing,no,,POINT (13.4308433 52.4283322)
node,12314236464,crossing,no,,POINT (13.4856013 52.4242454)
node,12314236468,crossing,no,,POINT (13.4853482 52.4240488)
node,12473491686,crossing,,,POINT (13.3282756 52.5994621)
node,12526685008,crossing,,,POINT (13.5744064 52.448778)
node,12526685011,crossing,,,POINT (13.5769302 52.4455339)
